"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"for" 0.61 0.58 0.62 0.62 0.84 0.55 0.68 0.57 0.83 0.8 0.7 0.74 0.73 0.97 0.53 0.85 0.46 0.59 0.59 0.62 0.57 0.4 0.65 0.34 0.59 0.52 0.6 0.8 1.12 0.65 0.61 0.52
"on" 0.76 0.68 1.06 0.66 0.82 0.55 0.76 0.94 0.53 0.4 0.53 0.44 0.6 0.44 0.53 0.41 0.6 0.52 0.64 0.44 0.55 0.67 0.47 0.87 0.76 0.77 0.96 0.75 0.59 0.67 0.53 0.76
"not" 0.53 0.41 0.51 0.58 0.58 0.52 0.62 0.42 0.75 0.81 0.25 0.56 0.52 0.31 0.5 0.66 0.28 0.27 0.35 0.6 0.56 0.73 1.12 0.25 0.68 0.55 0.76 0.78 0.95 0.47 0.99 1.13
"him" 0.45 0.19 0.33 0.18 0.35 0.51 0.2 0.52 0.6 0.4 0.54 0.59 0.66 0.63 0.66 0.5 0.56 0.66 0.79 0.52 0.61 0.65 0.82 0.58 0.36 0.34 0.32 0.49 0.59 0.67 0.33 0.52
"her" 0.19 0.13 0.5 0.6 0.26 0.3 0.67 0.53 1.6 0.91 1.04 0.58 0.46 0.6 1.43 2.04 0.6 0.22 0.56 0.58 0.43 0.95 0.22 0.06 0.01 0.24 0 0 0.23 0 0 0
"she" 0.33 0.2 0.65 0.54 0.2 0.44 1.41 0.57 1.05 0.73 0.65 0.33 0.44 0.37 1.56 2.16 0.47 0.19 0.61 0.59 0.64 0.66 0.24 0.1 0.01 0.17 0 0 0.37 0.01 0 0.03
"all" 0.72 0.91 0.68 0.92 0.53 0.63 0.85 0.92 0.2 0.22 0.23 0.23 0.25 0.29 0.15 0.19 0.3 0.51 0.36 0.25 0.45 0.3 0.34 0.46 0.54 0.42 0.79 0.8 0.52 0.78 0.46 0.51
"have" 0.37 0.51 0.46 0.51 0.36 0.43 0.46 0.45 0.65 0.75 0.56 0.49 0.51 0.82 0.24 0.66 0.34 0.36 0.4 0.66 0.44 0.49 0.8 0.17 0.69 0.22 0.39 0.44 0.54 0.31 0.82 0.41
"were" 0.66 0.76 0.68 0.47 0.38 0.67 0.77 0.63 0.29 0.27 0.32 0.35 0.36 0.4 0.39 0.36 0.34 0.38 0.41 0.3 0.33 0.38 0.26 0.33 0.46 0.64 1.02 0.91 0.46 0.35 0.56 0.51
"be" 0.64 0.56 0.54 0.55 0.65 0.63 0.49 0.48 0.49 0.47 0.37 0.55 0.53 0.7 0.25 0.42 0.26 0.53 0.41 0.41 0.48 0.44 0.54 0.44 0.57 0.36 0.36 0.34 0.81 0.24 0.43 0.33
