"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"sweet" 0 0 0.02 0.06 0.01 0.01 0.01 0.02 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0.04 0.01 0 0 0.04 0 0.02
"tears" 0 0.02 0 0 0 0 0.02 0 0 0.02 0.05 0.01 0.01 0 0.01 0.01 0.01 0 0 0.02 0.03 0.02 0 0.01 0 0 0 0 0 0.06 0 0
"thin" 0.01 0 0.02 0.02 0 0 0.02 0 0 0 0 0.02 0.02 0.01 0.03 0.01 0.02 0 0 0 0 0 0 0.02 0.02 0.02 0 0.02 0 0 0 0.04
"apparently" 0.01 0.01 0.03 0.01 0.03 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0.02 0.02 0.06 0.03 0 0.01 0 0 0 0 0 0 0
"carefully" 0 0 0.01 0 0.01 0 0.01 0 0.01 0.02 0.01 0 0.04 0.02 0.01 0.02 0.01 0.01 0 0.01 0 0 0 0.01 0 0.03 0.01 0.01 0 0.01 0.01 0.02
"carrying" 0.01 0.02 0 0.01 0 0 0.01 0.02 0 0 0.01 0.01 0.01 0 0.02 0 0.02 0.02 0.01 0.02 0.01 0 0.01 0 0 0 0.05 0.01 0 0.01 0.01 0
"choice" 0.02 0 0 0 0.01 0 0 0 0.02 0.01 0.01 0.01 0.02 0.02 0 0.04 0 0 0.01 0.03 0.02 0.01 0.01 0 0 0.01 0 0 0 0 0 0.04
"common" 0.02 0 0 0 0.02 0 0.01 0 0.02 0.02 0 0.01 0.02 0 0 0 0.05 0.05 0.02 0.02 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0
"cornelius" 0 0.13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.02 0 0 0.07 0.02 0.01 0 0 0 0 0 0 0 0
"discovered" 0 0 0 0 0.01 0.01 0 0 0.01 0.03 0.02 0.03 0.04 0.03 0.02 0.02 0 0 0 0 0 0.01 0.02 0 0 0.02 0.01 0 0 0 0.01 0
"dûr" 0 0 0 0 0 0 0 0 0.02 0.03 0.01 0.06 0 0.15 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"exclaimed" 0 0.03 0.02 0.02 0.01 0.02 0 0 0.01 0.03 0.01 0.03 0.01 0 0.03 0.02 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0.01 0 0.01 0
"faint" 0 0 0.01 0.01 0.01 0.03 0 0.02 0.01 0 0.03 0.01 0.03 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.02 0.03 0 0 0.01 0.02 0.02
"farthen" 0 0 0 0 0 0 0 0 0.02 0.03 0.01 0.06 0 0.15 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"following" 0 0 0 0.02 0.01 0.02 0 0.02 0 0.03 0 0.01 0 0 0.02 0.01 0.01 0.01 0 0 0.03 0.01 0 0.01 0.02 0.01 0.02 0.01 0.01 0 0.01 0
"giving" 0.01 0.01 0 0 0 0 0.01 0.02 0 0 0 0 0.01 0 0.01 0 0 0.02 0.01 0.07 0.04 0.01 0.02 0.01 0 0 0 0.01 0.01 0.01 0 0.01
"goes" 0.02 0 0 0.01 0 0.02 0 0 0.01 0 0.02 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0.02 0.03 0.01 0.02 0.02 0.02 0.01 0.05
"grim" 0 0 0 0.01 0 0.01 0 0.01 0.01 0.03 0.01 0 0.01 0.01 0 0.02 0.06 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.05 0 0 0.03
"lies" 0 0.01 0 0.03 0 0 0 0 0.01 0 0.02 0 0.03 0.03 0 0 0 0 0.02 0.01 0.02 0.01 0.01 0 0 0.01 0.01 0 0.04 0 0.03 0
"luck" 0 0.01 0 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0 0.01 0 0 0.01 0 0.03 0.02 0 0 0 0.01 0.04 0 0.01 0.08 0 0.02 0 0
"mad" 0.01 0.01 0 0 0 0.01 0.01 0 0.06 0 0 0.01 0 0.01 0 0 0 0.01 0.02 0.02 0 0.01 0 0.06 0 0 0.01 0.01 0 0.03 0 0
"mad-eye" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29 0 0 0 0 0 0 0 0 0 0 0
"managed" 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0.02 0 0.01 0.01 0.02 0.02 0 0.03 0.02 0.01 0.03 0 0.02 0 0 0.02 0.03 0 0 0.01 0
"opposite" 0 0.03 0 0.01 0.01 0 0.02 0 0.01 0.03 0.03 0 0 0 0.01 0.01 0 0.01 0.02 0 0.02 0.02 0.03 0.01 0 0.02 0 0 0 0 0 0
"owls" 0 0 0.23 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0
"paravel" 0.08 0.13 0.04 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"paused" 0 0 0 0 0 0 0 0 0.02 0.02 0.05 0.03 0 0.02 0.03 0.02 0 0.01 0.01 0 0 0 0.03 0 0 0 0 0 0.01 0.01 0.02 0.01
"six" 0 0.01 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0.01 0.01 0.01 0.03 0.01 0.01 0 0.01 0.06 0.02 0.02 0.01 0 0.03 0 0 0 0 0
"students" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.07 0.02 0.03 0 0.09 0.02 0.04 0 0 0 0 0 0 0 0
"tale" 0 0.01 0 0.02 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.1 0.01 0.01 0.02 0.07 0
"twenty" 0.02 0 0.04 0.01 0 0.01 0.01 0 0.01 0 0.01 0.01 0.01 0.02 0.02 0.01 0.04 0 0 0.01 0.02 0 0.01 0.02 0.01 0 0 0 0 0 0 0
"afternoon" 0.01 0 0.01 0.01 0.02 0 0.01 0.03 0 0 0 0.01 0.01 0 0 0 0.03 0.02 0.01 0 0 0 0 0.01 0.02 0.04 0.01 0.01 0.01 0 0.01 0
"bottom" 0.01 0.03 0.02 0 0 0 0.05 0 0 0.01 0 0.01 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0.03 0 0.01 0.02 0.02 0 0 0.01 0.02
"brown" 0 0.02 0 0 0 0 0 0.01 0.02 0.02 0 0.02 0 0.01 0 0.01 0.01 0 0.01 0.01 0.01 0 0 0.02 0 0.06 0.01 0.01 0.01 0 0.02 0
"camp" 0 0 0.01 0 0 0 0 0.03 0.04 0.02 0.12 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0.01 0 0 0.01 0
"captain" 0.09 0 0.01 0 0.01 0 0.02 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0.04 0 0 0 0 0.01 0 0 0 0.05 0.01 0.01 0
"case" 0 0 0 0.01 0.02 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0.07 0.01 0 0.02 0.02 0 0.02 0 0.02 0 0 0.01 0.01 0.01 0.01 0.01
"cause" 0 0 0 0 0.01 0 0 0 0.03 0.04 0.02 0.01 0.01 0.03 0.01 0.04 0.01 0 0.02 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0.01 0
"cave" 0 0 0 0.08 0 0 0 0.09 0 0 0 0 0 0.05 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.03 0 0 0.01 0 0
"doom" 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.15 0.06 0.01
"explain" 0.01 0 0 0 0 0.01 0.04 0 0.02 0.02 0 0 0 0.02 0 0.02 0 0.02 0 0 0.03 0.02 0.03 0.01 0 0 0.01 0 0 0 0.02 0
"farmer" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.26 0 0 0 0 0 0 0
"fleur" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11 0 0.17 0 0 0 0 0 0 0 0 0 0 0
"flew" 0.02 0 0.02 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.02 0.01 0 0.03 0 0 0.05 0 0 0.01 0.01 0
"folk" 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.08 0.05 0.01 0.02 0.03 0.02 0.03 0.01
"gathered" 0 0 0 0 0 0.01 0.01 0.01 0.02 0.01 0.01 0 0 0.01 0.02 0.02 0.01 0 0 0 0.01 0 0 0 0 0.03 0.03 0.02 0.02 0.02 0.01 0.01
"headmaster" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.09 0.01 0.04 0.02 0.04 0.04 0.02 0 0 0 0 0 0 0 0
"hollow" 0 0.01 0.01 0.01 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0.01 0.04 0 0.02 0 0.02 0.03 0 0 0.01 0 0.01 0.08
"hungry" 0 0.01 0.01 0.01 0.01 0.01 0.03 0.01 0.01 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.02 0 0.01 0.03 0.03 0.01 0.01 0.02 0.01
"important" 0 0 0 0.01 0.01 0 0.01 0 0.02 0.01 0.01 0.04 0.03 0.01 0 0 0 0.01 0 0.04 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0
"join" 0.02 0.01 0 0 0 0.02 0 0 0.03 0 0.02 0.01 0.01 0.01 0.03 0 0.01 0 0.02 0.01 0 0.03 0 0 0 0.01 0 0 0.02 0 0.01 0.01
"lands" 0.01 0 0 0.07 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0.03 0.02 0.02 0.01 0.03
"leading" 0 0 0.01 0.01 0 0 0 0.03 0 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0.02 0 0.02 0.03 0.03 0.03 0.01 0.01 0 0.01 0.01
"merely" 0 0.01 0 0 0 0.01 0 0.01 0.03 0 0 0 0 0 0.01 0 0.01 0 0.05 0.05 0.01 0.06 0.01 0 0.01 0.01 0 0 0 0 0 0
"opening" 0 0.01 0.02 0 0 0 0.02 0 0.01 0 0 0.01 0 0.04 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0.02 0.03 0.03 0.02 0.01 0.01 0.01 0
"ordinary" 0.02 0.01 0 0 0 0.02 0.03 0.01 0.02 0.01 0 0.01 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0.04 0.03 0.01 0 0.02 0 0 0 0.01
"paths" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.03 0 0.02 0.18 0.01 0.02 0
"plan" 0.03 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0.02 0 0.02 0 0 0 0 0.06 0 0.07 0.01 0.01 0.01 0.02 0 0 0 0 0
"promise" 0 0.01 0.02 0.01 0.02 0 0 0.03 0.02 0 0.01 0.02 0.03 0 0 0 0.01 0 0 0.01 0 0.02 0 0 0 0 0 0.01 0 0 0.01 0.05
"quidditch" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0.08 0.02 0.05 0.03 0 0.02 0 0 0 0 0 0 0 0 0
"rushed" 0.03 0 0.02 0.01 0 0.04 0.01 0.03 0 0 0.04 0 0 0.01 0.02 0 0 0 0.01 0 0 0 0 0.02 0 0.01 0.03 0 0 0 0 0
"scar" 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0.09 0 0.08 0.01 0.07 0 0 0 0 0 0 0 0 0
"seat" 0 0.03 0 0.01 0.01 0.01 0 0 0.03 0 0 0 0 0 0.01 0 0 0.01 0.02 0.08 0 0 0.01 0.02 0.01 0 0 0 0.02 0.01 0 0
"seized" 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0.03 0.03 0.01 0 0.01 0.04 0.04 0.03 0 0.01 0.04 0 0.01 0 0 0
"shire" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18 0.02 0 0 0.03 0.03 0 0.02
"showed" 0.01 0 0.04 0.05 0.03 0 0.01 0 0 0.01 0 0.02 0.01 0 0 0 0 0.02 0 0.03 0 0 0 0 0.01 0 0 0.01 0.02 0 0.01 0
"snow" 0 0 0.06 0 0 0 0.01 0.15 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0.02 0
"supper" 0 0.01 0 0.04 0.02 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0.03 0.04 0.02 0.01 0 0 0
"teach" 0 0.01 0.01 0 0.02 0 0 0.01 0 0.01 0 0.03 0.03 0.02 0 0.02 0 0.01 0 0.04 0 0.03 0.02 0.02 0 0 0 0 0 0 0 0
"therefore" 0.01 0 0 0.02 0.03 0.01 0 0.01 0.02 0 0 0.02 0 0 0 0.01 0 0 0.01 0 0.01 0.03 0.02 0 0 0 0 0 0.06 0 0 0.02
"unable" 0 0 0 0 0 0 0 0 0.01 0.03 0.04 0.05 0 0 0.01 0.05 0 0 0.01 0.02 0.01 0.02 0 0 0.01 0 0 0 0 0.01 0.01 0
"urgals" 0 0 0 0 0 0 0 0 0.05 0.01 0 0.11 0 0.09 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"visit" 0 0 0.01 0 0 0 0.01 0 0 0.02 0 0.01 0.01 0.02 0.02 0.02 0.04 0.03 0 0.02 0.01 0 0.02 0.01 0.01 0 0.01 0 0.01 0 0 0
"wet" 0.02 0.02 0.05 0.01 0 0 0.03 0.03 0.02 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0 0 0.05 0 0.01 0 0 0 0
"yelled" 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.07 0.02 0.04 0 0 0.04 0.04 0.02 0 0 0.02 0 0 0 0 0
"blow" 0 0 0.02 0.02 0 0 0 0.03 0.01 0 0.01 0.01 0 0 0.03 0 0.01 0.01 0 0 0 0.02 0 0 0.02 0.02 0 0 0.01 0.02 0.03 0
"calormenes" 0.25 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"changed" 0.01 0.01 0.02 0.02 0 0.04 0.02 0 0.01 0 0 0 0.03 0 0 0 0.02 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0.01 0.01 0.02 0.01 0
"chosen" 0.01 0 0 0.01 0.01 0.02 0 0 0.01 0.03 0.01 0.02 0.01 0.03 0.01 0 0 0 0.01 0.02 0 0 0.01 0 0.01 0.01 0 0 0.03 0.01 0 0
"circle" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0.02 0.01 0.01 0 0 0.01 0.02 0.07 0.02 0.02 0.01 0.02 0.02
"crouch" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"eagle" 0.09 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.1 0 0 0.01 0.03 0.01
"enormous" 0 0 0 0.01 0 0 0.03 0.01 0 0 0 0 0 0.03 0 0 0.06 0.01 0.02 0 0.03 0.01 0 0.01 0 0.01 0.01 0.02 0 0.01 0 0
"fellow" 0 0 0 0.01 0.01 0.04 0 0 0.01 0.02 0 0 0 0 0 0 0 0.01 0.01 0 0 0.02 0.01 0 0.08 0.01 0.03 0 0 0 0 0.01
"guards" 0 0 0 0 0 0 0 0 0.03 0.05 0 0 0.04 0.02 0.03 0.02 0 0.01 0 0 0 0.01 0 0 0 0 0.03 0 0.01 0.01 0 0.01
"guessed" 0.01 0.01 0 0 0.02 0 0 0 0.01 0 0 0.01 0 0 0 0.02 0.01 0 0 0.02 0 0 0.02 0 0.02 0.03 0 0.02 0 0.03 0.03 0.01
"hanging" 0 0.02 0 0.01 0 0 0.03 0.01 0.01 0.01 0.02 0 0.01 0 0 0 0.02 0.01 0.01 0 0 0.01 0 0.01 0.01 0.02 0.02 0 0 0.02 0.02 0
"hesitated" 0 0 0 0 0 0 0 0 0.04 0.04 0.03 0.02 0.01 0.02 0.02 0.02 0.01 0.01 0.01 0 0 0.03 0.01 0 0 0 0 0 0 0 0 0
"imagine" 0 0 0.02 0.01 0.01 0.03 0.02 0.02 0.01 0 0.01 0.01 0 0 0.02 0.01 0.04 0 0 0.02 0 0.01 0 0.02 0 0 0.01 0 0 0 0 0
"information" 0 0 0 0.01 0 0 0 0 0.01 0.02 0 0.03 0.01 0.02 0 0.01 0.02 0 0.04 0 0.05 0 0.04 0 0.01 0 0 0 0 0 0 0
"knight" 0 0 0.04 0.21 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"leaned" 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.01 0.02 0.05 0 0.02 0.01 0 0 0 0.02 0 0 0.02 0 0.01 0 0.01 0 0.01 0 0.01
"liked" 0 0.03 0.03 0.01 0 0.02 0.02 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0.01 0.01 0.02 0 0.01 0.03 0.02 0 0 0.02 0
"listening" 0 0.01 0 0 0 0 0.02 0.01 0 0.02 0 0.01 0.01 0.01 0 0.01 0.01 0.01 0.01 0 0 0.01 0.03 0 0 0.01 0.01 0.01 0 0 0.05 0.02
"loudly" 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0 0.02 0.08 0.02 0.01 0.01 0.01 0.01 0.05 0 0.01 0 0 0 0 0 0
"pair" 0.01 0.01 0 0 0 0.01 0.02 0 0.02 0 0 0 0.01 0.02 0.01 0.04 0.01 0.01 0 0 0.01 0.02 0 0.04 0 0.02 0.01 0 0 0 0 0
"parchment" 0 0 0 0 0 0 0.02 0 0 0 0 0 0.03 0.03 0 0 0.06 0.03 0.01 0.01 0.01 0.03 0 0.03 0 0 0 0 0.01 0 0 0
"powerful" 0 0 0 0 0 0 0.02 0 0.01 0.02 0.01 0.03 0.05 0.04 0 0.01 0 0 0 0.02 0.01 0 0.02 0.02 0 0 0 0 0 0.01 0 0
"queer" 0 0.03 0.01 0.01 0 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0.03 0.03 0.03 0 0 0.01 0.01
"relief" 0 0 0 0.02 0.01 0 0 0.01 0.02 0 0 0.01 0 0.01 0.03 0.03 0.03 0.01 0.02 0 0.01 0 0 0 0.02 0.01 0 0 0.02 0.01 0 0
"repeated" 0.01 0.02 0.01 0.03 0 0 0 0 0.01 0 0.01 0.02 0 0 0 0 0.02 0.01 0.03 0.02 0.01 0.02 0.02 0 0 0.01 0 0 0 0 0.01 0.01
"shot" 0.03 0.01 0.01 0 0 0.03 0.01 0.01 0 0 0.01 0 0 0.01 0 0.02 0.02 0 0.02 0 0.01 0.02 0 0 0 0.01 0 0.04 0 0 0.01 0
"sign" 0 0 0.01 0.04 0 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0 0 0.02 0.04 0 0.01 0.02 0.02 0.01 0.01 0 0.03 0 0.01 0 0.01
"sing" 0 0 0 0 0 0.04 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.03 0.06 0.04 0.02 0 0.02 0.02 0
"softly" 0 0 0 0.02 0 0 0 0 0 0 0.03 0 0 0.02 0 0 0.03 0 0 0.01 0 0.04 0.02 0 0.01 0.05 0 0 0 0.01 0.03 0
"somehow" 0 0.01 0.01 0 0.01 0.01 0 0.02 0 0 0 0 0 0.01 0 0 0.01 0.01 0.01 0.01 0.02 0.01 0.01 0.03 0 0.01 0.01 0.01 0 0.03 0.01 0.02
"sounded" 0 0.02 0 0 0.02 0 0.02 0.01 0 0.01 0 0.01 0.01 0 0.05 0 0 0.02 0.01 0 0.01 0 0 0.01 0.02 0.01 0.01 0.01 0.01 0 0.01 0
"strawberry" 0 0 0 0 0 0.25 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"warriors" 0.03 0 0 0 0 0 0 0 0.02 0.1 0.01 0.05 0 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0
"army" 0.02 0 0.01 0.02 0 0 0 0 0 0 0.01 0.05 0 0.06 0 0.01 0 0 0 0.01 0 0.06 0 0 0 0 0 0.01 0 0 0 0
"aunt" 0 0.03 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.02 0.17 0 0 0 0 0 0 0 0
"carried" 0.02 0 0.02 0 0.02 0 0 0.03 0 0.01 0.02 0 0 0 0.01 0 0 0.01 0.01 0 0 0.01 0 0.01 0 0.01 0.02 0.02 0 0.02 0.02 0
"clearly" 0.02 0.01 0.01 0.01 0.01 0 0.01 0 0 0 0.01 0 0.01 0.02 0 0 0.01 0.01 0.03 0 0.02 0 0.02 0.02 0 0 0 0 0 0 0.03 0.01
"decided" 0.01 0 0 0 0 0.01 0.01 0 0.01 0 0.01 0 0.02 0.02 0.01 0.03 0.01 0.01 0 0 0.01 0.02 0.02 0.01 0.02 0.01 0 0.01 0.01 0 0 0
"destroyed" 0 0 0.02 0.02 0 0 0.01 0.01 0 0.01 0.01 0 0 0.07 0.01 0 0 0 0 0 0.04 0 0.01 0.01 0 0 0 0 0 0.02 0.02 0
"ear" 0.03 0.01 0 0 0.01 0.01 0 0.01 0 0 0.01 0 0.01 0.02 0.03 0.01 0.03 0.01 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0.01 0.01 0
"energy" 0 0 0 0 0 0 0 0 0.03 0 0.02 0.11 0.01 0 0.07 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fifty" 0 0 0.03 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.05 0.09 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0.01 0 0.01 0
"flight" 0.02 0.01 0.01 0 0 0 0.03 0 0.01 0 0 0 0.01 0.02 0.03 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0.03 0 0.01 0 0 0.03
"goblin" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.09 0 0 0.07 0.08 0 0 0 0
"growled" 0.01 0.01 0 0 0 0.01 0 0.02 0 0 0.03 0.01 0.02 0 0.01 0.01 0.01 0.02 0 0 0.01 0 0 0.02 0 0 0.05 0.01 0 0 0 0.01
"hole" 0 0.01 0 0 0 0.04 0 0.03 0 0 0.01 0 0 0 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0 0.01 0.02 0 0 0.04 0.02 0 0 0 0.01
"hoped" 0 0 0.01 0 0 0 0 0.01 0.02 0 0.03 0 0 0.02 0.03 0 0 0.01 0 0.01 0 0.01 0.03 0.01 0 0.01 0.01 0 0.03 0.02 0 0
"hurry" 0 0 0.01 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0.04 0.01 0 0.03 0.01 0.03 0 0 0 0 0.03 0.02 0.02 0 0 0 0.01 0
"invisible" 0.01 0 0.01 0 0 0.01 0.12 0 0 0 0 0.01 0 0 0.01 0 0.02 0.02 0.02 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01
"island" 0 0.12 0 0.01 0 0 0.07 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0.02
"knowing" 0.01 0 0.01 0 0 0.01 0 0 0 0.02 0 0.01 0.01 0.01 0 0.02 0 0.02 0.02 0 0.02 0 0.04 0 0.02 0 0 0 0 0.02 0.01 0.01
"lead" 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0.04 0.01 0.04 0.02 0 0 0 0 0 0 0.01 0.03 0 0 0.03 0.01 0.01 0
"length" 0 0 0 0.01 0 0.01 0.04 0 0 0.01 0.01 0.01 0.02 0 0 0.02 0 0 0.01 0 0 0.01 0 0 0 0.02 0 0.03 0.02 0.01 0.02 0.01
"orrin" 0 0 0 0 0 0 0 0 0.22 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sank" 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0.02 0.01 0.02 0 0 0.01 0.01 0.02 0.01 0 0.02 0 0.01 0.02 0.04
"seconds" 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0.02 0 0.05 0.02 0.02 0.01 0.02 0.01 0 0 0.03 0.02 0 0 0 0 0 0 0 0
"spells" 0 0.01 0 0 0 0 0.01 0.01 0 0.02 0.01 0.05 0 0.01 0.04 0.01 0 0 0.03 0 0.02 0.01 0.01 0.02 0 0 0 0 0 0 0 0
"stories" 0 0.06 0.01 0 0.04 0 0 0 0 0.01 0.02 0.02 0.02 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0.02 0 0.01 0.01 0 0 0
"stronger" 0.03 0 0 0.02 0.01 0.01 0.01 0 0.01 0 0 0 0 0.03 0.01 0.03 0 0 0.05 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0.01 0.01
"struggled" 0.01 0.01 0 0 0 0 0 0 0 0.01 0.03 0.02 0.01 0 0.03 0.01 0 0 0.01 0 0.01 0.01 0.01 0 0 0.02 0 0.01 0 0.05 0 0.01
"stuck" 0.01 0 0.01 0 0 0 0.01 0.01 0.02 0.01 0.01 0 0 0.01 0.02 0 0.02 0 0.01 0 0 0.01 0 0.01 0 0.01 0.04 0.04 0 0 0 0.01
"swords" 0.06 0 0.01 0.01 0.02 0 0.02 0 0.01 0.03 0.01 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0 0.02
"there^s" 0 0 0.07 0.06 0.08 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wants" 0.01 0 0.02 0 0 0.02 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0 0.01 0.04 0 0 0 0.03 0 0 0 0 0 0 0 0.08
"welcome" 0.02 0 0 0.01 0 0 0.02 0.03 0 0.01 0 0.02 0.03 0 0 0 0 0 0 0.02 0 0 0.02 0.03 0.01 0.01 0 0 0.02 0 0 0.01
"werecat" 0 0 0 0 0 0 0 0 0.01 0 0 0 0.14 0 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"working" 0 0.01 0.01 0 0 0 0.01 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0.01 0.01 0.01 0.03 0.02 0.06 0.01 0.02 0 0 0 0 0 0 0.01 0
